lokalizacja,cena,do_wynajecia_przez,liczba_pokoi,rodzaj_nieruchomosci,wielkosc,parking,liczba_lazienek,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Śródmieście, Warszawa",2690,Agencja,2 pokoje,Mieszkanie,47,Nie podano,Nie podano,Tak,Tak,58
"Śródmieście, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,94,Nie podano,Nie podano,Tak,Tak,164
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,249
"Śródmieście, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,39,Brak,1 łazienka,Nie,Tak,56
"Śródmieście, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,107
"Śródmieście, Warszawa",1900,Agencja,2 pokoje,Inne,45,Ulica,1 łazienka,Tak,Tak,26
"Śródmieście, Warszawa",2850,Właściciel,2 pokoje,Mieszkanie,63,Nie podano,1 łazienka,Nie,Tak,215
"Śródmieście, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,80,Garaż,1 łazienka,Tak,Tak,85
"Śródmieście, Warszawa",3900,Agencja,3 pokoje,Mieszkanie,59,Nie podano,Nie podano,Tak,Tak,355
"Śródmieście, Warszawa",3600,Agencja,2 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,70
"Targówek, Warszawa",1500,Właściciel,2 pokoje,Mieszkanie,40,Ulica,1 łazienka,Tak,Tak,41
"Targówek, Warszawa",1999,Agencja,3 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,175
"Targówek, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,44,Nie podano,1 łazienka,Tak,Tak,178
"Targówek, Warszawa",1500,Właściciel,2 pokoje,Mieszkanie,40,Ulica,1 łazienka,Nie,Nie,32
"Targówek, Warszawa",1400,Agencja,Kawalerka lub garsoniera,Mieszkanie,34,Ulica,Nie podano,Tak,Tak,94
"Ursynów, Warszawa",4700,Agencja,3 pokoje,Mieszkanie,84,Garaż,Nie podano,Tak,Tak,124
"Ursynów, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,81,Nie podano,Nie podano,Tak,Tak,191
"Ursynów, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,62,Kryty,Nie podano,Tak,Tak,215
"Ursynów, Warszawa",3000,Właściciel,3 pokoje,Mieszkanie,62,Nie podano,Nie podano,Tak,Tak,172
"Ursynów, Warszawa",2350,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,62
"Ursynów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,132
"Ursynów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,135
"Ursynów, Warszawa",2000,Agencja,3 pokoje,Mieszkanie,62,Ulica,Nie podano,Tak,Tak,107
"Ursynów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,92
"Ursynów, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,68,Nie podano,1 łazienka,Tak,Tak,135
"Ursynów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,80,Garaż,2 łazienki,Tak,Tak,177
"Ursynów, Warszawa",4700,Agencja,3 pokoje,Mieszkanie,84,Garaż,1 łazienka,Tak,Tak,184
"Ursynów, Warszawa",4700,Agencja,3 pokoje,Mieszkanie,84,Garaż,1 łazienka,Tak,Tak,184
"Ursynów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,80,Garaż,2 łazienki,Tak,Tak,177
"Wilanów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,103
"Wilanów, Warszawa",2150,Właściciel,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Nie,Nie,156
"Wilanów, Warszawa",4500,Właściciel,3 pokoje,Dom,100,Kryty,2 łazienki,Tak,Tak,48
"Wilanów, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,103
"Wilanów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,62,Nie podano,1 łazienka,Tak,Tak,102
"Wilanów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,178
"Wilanów, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,89,Garaż,1 łazienka,Tak,Tak,253
"Wola, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,56,Kryty,1 łazienka,Nie,Nie,170
"Wola, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,159
"Wola, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Garaż,1 łazienka,Tak,Tak,161
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,157
"Wola, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,54,Garaż,1 łazienka,Tak,Tak,179
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,171
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,184
"Wola, Warszawa",2950,Agencja,3 pokoje,Mieszkanie,69,Nie podano,1 łazienka,Tak,Nie,152
"Wola, Warszawa",3400,Agencja,2 pokoje,Mieszkanie,54,Ulica,1 łazienka,Tak,Tak,147
"Wola, Warszawa",2500,Agencja,3 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,136
"Wola, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,180
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,65,Garaż,1 łazienka,Tak,Tak,160
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,177
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,171
"Wola, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,54,Garaż,1 łazienka,Tak,Tak,179
"Wola, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,38,Garaż,1 łazienka,Nie,Nie,163
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,157
"Wola, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Garaż,1 łazienka,Tak,Tak,161
"Wola, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,159
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,46,Garaż,1 łazienka,Tak,Tak,186
"Wola, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,58,Garaż,1 łazienka,Tak,Tak,154
"Wola, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,58,Nie podano,Nie podano,Tak,Tak,61
"Wola, Warszawa",3300,Agencja,2 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,94
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,197
"Wola, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,48,Garaż,1 łazienka,Tak,Tak,213
"Wola, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Tak,108
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,41,Nie podano,Nie podano,Tak,Tak,147
"Wola, Warszawa",3300,Agencja,Kawalerka lub garsoniera,Mieszkanie,47,Nie podano,Nie podano,Tak,Tak,65
"Wola, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,54,Garaż,1 łazienka,Tak,Tak,56
"Wola, Warszawa",4200,Agencja,2 pokoje,Mieszkanie,55,Garaż,1 łazienka,Tak,Tak,98
"Wola, Warszawa",3300,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,90
"Wola, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Tak,179
"Wola, Warszawa",3600,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,80
"Wola, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,160
"Wola, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,55,Ulica,Nie podano,Tak,Tak,169
"Wola, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,48,Garaż,1 łazienka,Tak,Tak,155
"Wola, Warszawa",2150,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Nie podano,Nie podano,Tak,Tak,88
"Wola, Warszawa",3400,Agencja,3 pokoje,Mieszkanie,65,Garaż,1 łazienka,Tak,Tak,347
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,184
"Wola, Warszawa",2950,Agencja,3 pokoje,Mieszkanie,69,Nie podano,1 łazienka,Tak,Nie,152
"Wola, Warszawa",3400,Agencja,2 pokoje,Mieszkanie,54,Ulica,1 łazienka,Tak,Tak,147
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,65,Garaż,1 łazienka,Tak,Tak,160
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,177
"Wola, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,32
"Wola, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,130
"Wola, Warszawa",2300,Właściciel,2 pokoje,Mieszkanie,44,Nie podano,Nie podano,Tak,Tak,116
"Żoliborz, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,70
"Żoliborz, Warszawa",2000,Właściciel,2 pokoje,Mieszkanie,49,Ulica,1 łazienka,Tak,Tak,93
"Żoliborz, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Tak,163
"Bemowo, Warszawa",1800,Agencja,3 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,127
"Bemowo, Warszawa",1950,Właściciel,Kawalerka lub garsoniera,Mieszkanie,42,Ulica,1 łazienka,Nie,Nie,169
"Bemowo, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Nie,Nie,237
"Bemowo, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,169
"Bemowo, Warszawa",1700,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,85
"Bemowo, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,168
"Bemowo, Warszawa",2800,Agencja,3 pokoje,Mieszkanie,75,Nie podano,1 łazienka,Tak,Tak,176
"Bemowo, Warszawa",2550,Agencja,2 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,138
"Bemowo, Warszawa",2000,Właściciel,Kawalerka lub garsoniera,Mieszkanie,37,Ulica,1 łazienka,Nie,Nie,56
"Bemowo, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,58,Nie podano,1 łazienka,Tak,Tak,169
"Bemowo, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,41,Garaż,1 łazienka,Tak,Tak,194
"Bemowo, Warszawa",2400,Agencja,3 pokoje,Mieszkanie,59,Nie podano,1 łazienka,Tak,Tak,158
"Bemowo, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,53,Nie podano,1 łazienka,Tak,Tak,166
"Bemowo, Warszawa",2350,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,162
"Bemowo, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Nie,177
"Bemowo, Warszawa",2700,Agencja,3 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,212
"Bemowo, Warszawa",2600,Agencja,3 pokoje,Mieszkanie,60,Nie podano,2 łazienki,Nie,Nie,114
"Bemowo, Warszawa",1200,Właściciel,Kawalerka lub garsoniera,Mieszkanie,20,Nie podano,1 łazienka,Tak,Nie,13
"Bemowo, Warszawa",3300,Agencja,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,135
"Bemowo, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,58,Garaż,1 łazienka,Nie,Nie,96
"Bemowo, Warszawa",3300,Agencja,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,136
"Bemowo, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,58,Garaż,1 łazienka,Tak,Tak,137
"Białołęka, Warszawa",1550,Właściciel,3 pokoje,Mieszkanie,64,Ulica,1 łazienka,Nie,Tak,59
"Białołęka, Warszawa",1850,Właściciel,2 pokoje,Mieszkanie,56,Garaż,1 łazienka,Nie,Nie,34
"Białołęka, Warszawa",2200,Właściciel,3 pokoje,Mieszkanie,70,Nie podano,2 łazienki,Tak,Tak,96
"Białołęka, Warszawa",1600,Właściciel,2 pokoje,Mieszkanie,52,Ulica,1 łazienka,Nie,Nie,2
"Bielany, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,44,Nie podano,1 łazienka,Tak,Tak,25
"Bielany, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,48,Garaż,1 łazienka,Tak,Tak,264
"Bielany, Warszawa",3300,Agencja,3 pokoje,Mieszkanie,93,Nie podano,1 łazienka,Tak,Tak,159
"Bielany, Warszawa",3500,Agencja,4 pokoje,Mieszkanie,90,Nie podano,Nie podano,Tak,Tak,368
"Bielany, Warszawa",3300,Właściciel,3 pokoje,Mieszkanie,79,Ulica,1 łazienka,Nie,Nie,104
"Bielany, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,51,Nie podano,1 łazienka,Tak,Tak,153
"Bielany, Warszawa",1800,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,147
"Bielany, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,37,Nie podano,1 łazienka,Tak,Tak,168
"Bielany, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,177
"Bielany, Warszawa",3950,Agencja,4 pokoje,Mieszkanie,90,Nie podano,2 łazienki,Tak,Tak,169
"Bielany, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,172
"Bielany, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,43,Nie podano,1 łazienka,Tak,Tak,36
"Bielany, Warszawa",4200,Agencja,4 pokoje,Dom,80,Nie podano,1 łazienka,Tak,Tak,123
"Bielany, Warszawa",1550,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,Nie podano,Tak,Tak,72
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Nie,Nie,132
"Mokotów, Warszawa",2650,Właściciel,2 pokoje,Mieszkanie,57,Ulica,1 łazienka,Nie,Nie,195
"Mokotów, Warszawa",2800,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,206
"Mokotów, Warszawa",3600,Agencja,3 pokoje,Mieszkanie,78,Nie podano,Nie podano,Tak,Tak,229
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",3600,Agencja,3 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,100
"Mokotów, Warszawa",2500,Właściciel,3 pokoje,Mieszkanie,62,Ulica,1 łazienka,Nie,Nie,65
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Nie,130
"Mokotów, Warszawa",2100,Właściciel,Kawalerka lub garsoniera,Mieszkanie,34,Garaż,1 łazienka,Tak,Tak,119
"Mokotów, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,72,Nie podano,1 łazienka,Tak,Tak,181
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,48
"Mokotów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,117
"Mokotów, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,76,Nie podano,Nie podano,Tak,Tak,125
"Mokotów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,88
"Mokotów, Warszawa",3300,Agencja,3 pokoje,Mieszkanie,68,Ulica,Nie podano,Tak,Tak,155
"Mokotów, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,49,Ulica,Nie podano,Tak,Tak,156
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",3700,Agencja,2 pokoje,Mieszkanie,64,Nie podano,2 łazienki,Tak,Tak,255
"Mokotów, Warszawa",2100,Właściciel,Kawalerka lub garsoniera,Mieszkanie,65,Ulica,1 łazienka,Tak,Tak,37
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",3600,Właściciel,2 pokoje,Mieszkanie,67,Garaż,2 łazienki,Nie,Nie,71
"Mokotów, Warszawa",3400,Agencja,3 pokoje,Mieszkanie,81,Ulica,2 łazienki,Tak,Tak,99
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",4800,Agencja,3 pokoje,Mieszkanie,93,Nie podano,1 łazienka,Tak,Tak,118
"Mokotów, Warszawa",2400,Agencja,3 pokoje,Mieszkanie,64,Ulica,2 łazienki,Tak,Tak,107
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,48,Garaż,1 łazienka,Tak,Tak,185
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",1700,Agencja,Kawalerka lub garsoniera,Mieszkanie,34,Nie podano,1 łazienka,Tak,Tak,83
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,70,Garaż,1 łazienka,Tak,Tak,193
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,52,Garaż,1 łazienka,Tak,Tak,150
"Mokotów, Warszawa",3800,Agencja,3 pokoje,Mieszkanie,86,Garaż,Nie podano,Tak,Tak,97
"Mokotów, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,48,Garaż,1 łazienka,Tak,Tak,74
"Mokotów, Warszawa",3150,Agencja,2 pokoje,Mieszkanie,53,Garaż,1 łazienka,Tak,Nie,148
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,156
"Mokotów, Warszawa",3600,Agencja,3 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,188
"Mokotów, Warszawa",2950,Agencja,2 pokoje,Mieszkanie,49,Ulica,1 łazienka,Tak,Tak,154
"Mokotów, Warszawa",4700,Agencja,2 pokoje,Mieszkanie,59,Garaż,1 łazienka,Tak,Nie,154
"Mokotów, Warszawa",2850,Agencja,2 pokoje,Mieszkanie,48,Ulica,1 łazienka,Tak,Tak,155
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",3100,Agencja,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Tak,Tak,164
"Mokotów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,36,Garaż,1 łazienka,Tak,Nie,147
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Nie,161
"Mokotów, Warszawa",2420,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,148
"Mokotów, Warszawa",2150,Agencja,2 pokoje,Mieszkanie,36,Ulica,1 łazienka,Tak,Nie,160
"Mokotów, Warszawa",2450,Właściciel,2 pokoje,Mieszkanie,49,Nie podano,Nie podano,Tak,Tak,49
"Mokotów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Tak,Tak,142
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Tak,Tak,168
"Mokotów, Warszawa",2050,Agencja,2 pokoje,Mieszkanie,37,Ulica,1 łazienka,Tak,Tak,152
"Mokotów, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,42,Ulica,1 łazienka,Tak,Tak,137
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Nie,150
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Tak,Tak,137
"Mokotów, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Tak,Nie,97
"Mokotów, Warszawa",3440,Agencja,3 pokoje,Mieszkanie,55,Garaż,1 łazienka,Tak,Tak,155
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,162
"Mokotów, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,47,Ulica,1 łazienka,Nie,Nie,44
"Mokotów, Warszawa",3700,Agencja,2 pokoje,Mieszkanie,72,Nie podano,1 łazienka,Tak,Tak,109
"Mokotów, Warszawa",1650,Właściciel,Kawalerka lub garsoniera,Mieszkanie,33,Nie podano,1 łazienka,Nie,Tak,78
"Mokotów, Warszawa",4500,Agencja,2 pokoje,Mieszkanie,61,Nie podano,Nie podano,Tak,Tak,284
"Mokotów, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,86,Nie podano,Nie podano,Tak,Tak,154
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,53,Garaż,1 łazienka,Tak,Tak,164
"Mokotów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,156
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,147
"Mokotów, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,131
"Ochota, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,151
"Ochota, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,73,Nie podano,1 łazienka,Tak,Tak,184
"Ochota, Warszawa",2550,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,180
"Ochota, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,54,Nie podano,1 łazienka,Tak,Tak,162
"Ochota, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,188
"Ochota, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,197
"Ochota, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,173
"Ochota, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,125
"Ochota, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,75,Garaż,2 łazienki,Tak,Tak,76
"Ochota, Warszawa",1750,Agencja,2 pokoje,Mieszkanie,43,Nie podano,1 łazienka,Tak,Tak,56
"Ochota, Warszawa",1700,Agencja,Kawalerka lub garsoniera,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,143
"Ochota, Warszawa",1400,Właściciel,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,27
"Ochota, Warszawa",3199,Agencja,2 pokoje,Mieszkanie,49,Nie podano,1 łazienka,Tak,Tak,111
"Ochota, Warszawa",1500,Agencja,Kawalerka lub garsoniera,Mieszkanie,20,Ulica,1 łazienka,Tak,Tak,102
"Ochota, Warszawa",1700,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,141
"Ochota, Warszawa",1400,Właściciel,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,28
"Praga Północ, Warszawa",4300,Agencja,3 pokoje,Mieszkanie,72,Garaż,1 łazienka,Tak,Tak,261
"Praga Północ, Warszawa",1899,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,179
"Praga Północ, Warszawa",3600,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,267
"Praga Północ, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,267
"Praga Północ, Warszawa",2400,Właściciel,3 pokoje,Mieszkanie,57,Ulica,1 łazienka,Tak,Tak,96
"Praga Północ, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Nie,Tak,201
"Praga Południe, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,41,Nie podano,1 łazienka,Tak,Tak,165
"Praga Południe, Warszawa",3199,Agencja,2 pokoje,Mieszkanie,49,Garaż,1 łazienka,Tak,Tak,197
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,173
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Tak,173
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,173
"Praga Południe, Warszawa",2750,Agencja,3 pokoje,Mieszkanie,84,Nie podano,1 łazienka,Tak,Tak,155
"Praga Południe, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,62,Kryty,Nie podano,Tak,Tak,295
"Praga Południe, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,67,Nie podano,1 łazienka,Tak,Tak,151
"Praga Południe, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,78,Nie podano,Nie podano,Tak,Tak,107
"Praga Południe, Warszawa",2600,Agencja,3 pokoje,Mieszkanie,70,Nie podano,1 łazienka,Tak,Tak,165
"Praga Południe, Warszawa",2750,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,162
"Praga Południe, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,156
"Praga Południe, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,152
"Praga Południe, Warszawa",2800,Agencja,3 pokoje,Mieszkanie,67,Garaż,1 łazienka,Tak,Tak,187
"Praga Południe, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,37,Nie podano,1 łazienka,Tak,Tak,199
"Praga Południe, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,171
"Praga Południe, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,52,Ulica,1 łazienka,Tak,Tak,77
"Praga Południe, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Nie,160
